# Expressions like A_B_C_ mean the word ABC needs to be spelled out
# Expressions like _XBOX360_ will leave the expression as is, with no number inflection
# It matches entire (multi-)word patterns on the left for the words on
# This is a multi word (or multi-word regex) map for normalizing text.
# the right of ',' in this .CSV file.
1-S,_1-S_
1S,_1S_
ABT,ABOUT
ADC,A_D_C_
AF,AS FUCK
AFK,A_F_K_
AG,A_G_
AK12,_AK12_
AK12S,_AK12S_
AK47,_AK47_
AK47S,_AK47S_
AK74,_AK74_
AK74M,_AK74M_
AK74S,_AK74S_
AK74U,_AK74U_
AOE,A_O_E_
AOE,A_O_E_
AOL,A_O_L_
AP,A_P_
APR,A_P_R_
AR,A_R_
AR10,_AR10_
AR10S,_AR10S_
AR15,_AR15_
AR15S,_AR15S_
AR98,_AR98_
AR98S,_AR98S_
ASF,AS FUCK
ATM,AT THE MOMENT
AWP,A_W_P_
BAK,B_A_K_
BB,BABY
BBTAG,B_B_ TAG
BBY,BABY
BF,B_F_
BFBC,B_F_B_C_
BFF,B_F_F_
BFFS,B_F_F_S_
BGH,B_G_H_
BJ,BLOWJOB
BKB,B_K_B_
BR,BATTLE ROYALE
BRB,B_R_B_
BS,BULLSHIT
BTW,BY THE WAY
C-4,_C-4_
C-9,_C-9_
CP,C_P_
CS,C_S_
CSGO,CSGO
DC,D_C_
DLC,D_L_C_
DPS,D_P_S_
DY,D_Y_
E3,_E3_
ELO,ELO
EZ,EASY
EZPZ,E_Z_P_Z_
F2F,FACE TO FACE
F2P,FREE TO PLAY
FAQ,F_A_Q_
FF,FRIENDLY FIRE
FFS,FOR FUCK'S SAKE
FOV,F_O_V_
FPS,F_P_S_
GF,GIRLFRIEND
GG,G_G_
GGEZ,G_G_ EASY
GGWP,G_G_ WELL PLAYED
GJ,GOOD JOB
GLHF,GOOD LUCK HAVE FUN
GN,GOOD NIGHT
GNA,GONNA
GR8,GREAT
GTFO,GET THE FUCK OUT
GTFOH,GET THE FUCK OUT OF HERE
GTFOUTA,GET THE FUCK OUTTA
GTG,GOT TO GO
GZ,GRATZ
H8,HATE
H8IN',HATIN'
H8ING,HATING
H8R,HATER
HP,H_P_
IC,I SEE
IDK,I DON'T KNOW
IKR,I KNOW RIGHT
IMHO,IN MY HUMBLE OPINION
IMO,IN MY OPINION
IQ,I_Q_
IRL,I_R_L_
JK,J_K_
KAR98,_KAR98_
KAR98K,_KAR98K_
KD,K_D_
KDR,K_D_R_
KK,OKAY OKAY
KKK,OKAY OKAY OKAY
KKTHXBAI,OKAY OKAY THANKS BYE
KKTHXBYE,OKAY OKAY THANKS BYE
KTHNX,OKAY THANKS
KTHNXBAI,OKAY THANKS BYE
KTHNXBYE,OKAY THANKS BYE
KTHX,OKAY THANKS
KTHXBAI,OKAY THANKS BYE
KTHXBYE,OKAY THANKS BYE
KYS,KILL YOURSELF
L2P,LEARN TO PLAY
L33T,ELITE
L8R,LATER
LEET,ELITE
LMAO,LAUGHIN' MY ASS OFF
LMAOUTA,LAUGHIN' MY ASS OUTTA
M UTHAFUCKA,MOTHERFUCKER
M UTHAFUCKAS,MOTHERFUCKERS
M+K,MOUSE AND KEYBOARD
M+KB,MOUSE AND KEYBOARD
M0AR,MORE
M16,_M16_
M16A3,_M16A3_
M16A4,_M16A4_
M16S,_M16S_
M249,_M249_
M4,_M4_
M4A1S,_M4A1S_
M4S,_M4S_
M8,MATE
M9,MATE
MMORPG,M_M_O_R_P_G_
MMR,M_M_R_
MNK,MOUSE AND KEYBOARD
MP,M_P_
MSN,M_S_N_
MVP,M_V_P_
NPC,N_P_C_
NSFW,N_S_F_W_
OMFG,OH MY FUCKING GOD
OMG,OH MY GOD
OP,O_P_
OTW,ON THE WAY
P2W,PAY TO WIN
PBE,P_B_E_
PBQ,P_B_Q_
PC,P_C_
PK,P_K_
PL0X,PLEASE
PLOX,PLEASE
PS3,_PS3_
PS4,_PS4_
PS5,_PS5_
PSN,P_S_N_
PVE,P_V_E_
PVP,P_V_P_
RN,RIGHT NOW
RPG,R_P_G_
RSN,REAL SOON NOW
RTS,R_T_S_
SMB,SUB MACHINE GUN
SMG,S_M_G_
SMH,S_M_H_
SOZ,SORRY
SRSRY,SERIOUSLY
STFU,SHUT THE FUCK UP
TBH,TO BE HONEST
THNX,THANKS
THX,THANKS
TK,T_K_
TPS,T_P_S_
TTYL,TALK TO YOU LATER
W8,WAIT
WP,WELL PLAYED
WTB,WANT TO BUY
WTF,WHAT THE FUCK
WTS,WANT TO SELL
WTT,WANT TO TRADE
XBOX360,_XBOX360_
XBOXLIVE,_XBOXLIVE_
XP,X_P_
YR,YEAR
r'K+T+H+[N]*X+B+I+R+D+',OKAY THANKS BIRD
r'K+T+H+[N]*X+B+I+R+D+[SZ]+([ ][ZS]+)',OKAY THANKS BIRDS
r'^KK[ ]*T+H+N*X+[ ]*(B+A+I+|B+Y+E+)$',OKAY OKAY THANKS BYE
r'^K[ ]*T+H+N*X+[ ]*(B+A+I+|B+Y+E+)$',OKAY THANKS BYE
r'^[K][K][K][K]+$',
r'^[X]+[D]+([X]+[D]+)*$',
r'^[X]+[O]+([X]+[O]+)*$',
